psu,hh,idcode,hhid,q02,q03,q04,q05y,q05m,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,psu_hh_idcode
1,11,2,111,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_11_2
1,11,3,111,1,4,20020918,9,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,1_11_3
1,11,4,111,2,4,20090620,3,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,1_11_4
1,12,1,112,2,1,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_12_1
1,12,2,112,2,4,19840504,28,4,5.0,-999.0,-999.0,0,1,1,1.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,7.0,2.0,52.0,-999.0,1_12_2
1,12,3,112,2,4,19880817,24,0,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,7.0,2.0,52.0,-999.0,1_12_3
2,2,1,202,1,1,19680607,44,3,1.0,1.0,-999.0,0,1,2,-999.0,2.0,1.0,-999.0,-999.0,2,-999.0,10.0,1.0,-999.0,-999.0,2_2_1
2,2,2,202,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_2_2
2,2,3,202,1,4,20060929,5,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_2_3
2,2,4,202,2,4,20080910,4,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_2_4
2,3,2,203,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_3_2
2,3,3,203,2,4,19950824,17,0,5.0,-999.0,-999.0,0,1,1,2.0,-999.0,-999.0,-999.0,-999.0,1,1.0,-999.0,-999.0,-999.0,-999.0,2_3_3
2,4,1,204,1,1,19760313,36,6,1.0,1.0,-999.0,0,1,2,-999.0,3.0,1.0,-999.0,57.0,2,-999.0,3.0,1.0,-999.0,-999.0,2_4_1
2,4,2,204,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_4_2
2,4,3,204,2,4,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_4_3
2,4,4,204,2,4,20030210,9,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_4_4
2,5,1,205,1,1,19580513,54,4,1.0,1.0,2.0,0,1,2,-999.0,3.0,2.0,-999.0,-999.0,2,-999.0,2.0,2.0,-999.0,-999.0,2_5_1
2,5,2,205,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_5_2
2,6,1,206,1,1,19410512,71,4,1.0,1.0,2.0,0,1,2,-999.0,10.0,2.0,75.0,-999.0,2,-999.0,10.0,2.0,68.0,-999.0,2_6_1
2,6,2,206,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_6_2
2,6,3,206,1,4,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_6_3
2,7,1,207,1,1,19460316,66,6,1.0,1.0,2.0,0,1,2,-999.0,1.0,2.0,76.0,-999.0,2,-999.0,2.0,2.0,69.0,-999.0,2_7_1
2,7,2,207,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_7_2
2,7,3,207,2,4,19880418,24,5,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_7_3
2,8,1,208,1,1,19670815,45,1,1.0,1.0,2.0,0,1,2,-999.0,10.0,1.0,-999.0,-999.0,2,-999.0,10.0,1.0,-999.0,-999.0,2_8_1
2,8,2,208,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_8_2
2,8,3,208,1,4,19930828,19,0,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_8_3
2,9,1,209,1,1,19570105,55,8,1.0,1.0,2.0,0,1,2,-999.0,2.0,2.0,-999.0,-999.0,2,-999.0,2.0,2.0,-999.0,-999.0,2_9_1
2,9,2,209,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,2_9_2
2,9,3,209,2,4,19890607,23,3,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_9_3
2,9,4,209,1,4,19910310,21,6,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_9_4
2,9,5,209,2,4,19980806,14,1,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,2_9_5
3,1,2,301,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,3_1_2
3,1,3,301,2,4,19950204,17,7,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_1_3
3,1,4,301,1,4,19970424,15,4,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_1_4
3,3,1,303,1,1,19661207,45,9,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,10.0,2.0,-999.0,-999.0,3_3_1
3,3,2,303,2,7,19400108,72,8,4.0,-999.0,-999.0,0,1,2,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,10.0,2.0,67.0,-999.0,3_3_2
3,4,1,304,2,1,19440223,68,6,4.0,-999.0,-999.0,0,1,2,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,2.0,2.0,78.0,-999.0,3_4_1
3,4,2,304,2,4,19750406,37,5,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,4.0,2.0,68.0,-999.0,3_4_2
3,5,1,305,1,1,19571107,54,10,1.0,1.0,2.0,0,1,2,-999.0,2.0,2.0,82.0,-999.0,2,-999.0,6.0,2.0,63.0,-999.0,3_5_1
3,5,2,305,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,3_5_2
3,5,3,305,1,4,19831123,28,9,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_5_3
3,5,4,305,2,4,19870925,24,11,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_5_4
3,5,5,305,1,4,19900115,22,8,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_5_5
3,7,2,307,2,1,19791201,32,9,1.0,1.0,1.0,0,1,2,-999.0,4.0,2.0,-999.0,-999.0,2,-999.0,4.0,2.0,-999.0,-999.0,3_7_2
3,7,3,307,2,4,20001110,11,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_7_3
3,7,4,307,1,4,20051228,6,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_7_4
3,8,1,308,1,1,19610521,51,3,1.0,1.0,2.0,0,1,2,-999.0,1.0,1.0,-999.0,80.0,2,-999.0,3.0,2.0,-999.0,-999.0,3_8_1
3,8,2,308,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,3_8_2
3,8,3,308,2,4,19911011,20,10,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_8_3
3,8,4,308,1,4,19930327,19,5,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_8_4
3,9,1,309,1,1,19420407,70,5,1.0,1.0,2.0,0,1,2,-999.0,2.0,2.0,-999.0,-999.0,2,-999.0,2.0,2.0,-999.0,-999.0,3_9_1
3,9,2,309,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,3_9_2
3,10,1,310,1,1,19440111,68,7,1.0,1.0,2.0,0,1,2,-999.0,1.0,2.0,86.0,-999.0,2,-999.0,1.0,2.0,64.0,-999.0,3_10_1
3,10,2,310,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,3_10_2
3,10,3,310,1,4,19830601,29,3,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,3_10_3
4,1,1,401,1,1,19580227,54,6,1.0,1.0,2.0,0,1,2,-999.0,10.0,2.0,-999.0,-999.0,2,-999.0,10.0,2.0,-999.0,-999.0,4_1_1
4,1,2,401,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,4_1_2
4,1,3,401,2,4,19861117,25,9,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,4_1_3
4,1,4,401,2,4,19920528,20,3,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,4_1_4
4,2,1,402,2,1,19790226,33,6,2.0,2.0,-999.0,0,1,2,-999.0,3.0,1.0,-999.0,-999.0,2,-999.0,6.0,1.0,-999.0,-999.0,4_2_1
4,2,2,402,2,4,19970616,15,2,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,10.0,1.0,-999.0,-999.0,4_2_2
4,2,3,402,1,4,20010511,11,-999,-999.0,-999.0,-999.0,0,1,2,-999.0,10.0,1.0,-999.0,57.0,2,-999.0,3.0,1.0,-999.0,37.0,4_2_3
4,4,1,404,2,1,19511024,60,10,4.0,-999.0,-999.0,0,1,2,-999.0,5.0,2.0,-999.0,-999.0,2,-999.0,5.0,1.0,-999.0,-999.0,4_4_1
4,4,2,404,1,4,19850505,27,3,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,5.0,2.0,61.0,-999.0,4_4_2
4,6,1,406,2,1,19220503,90,4,4.0,-999.0,-999.0,0,1,2,-999.0,10.0,2.0,84.0,-999.0,2,-999.0,10.0,2.0,60.0,-999.0,4_6_1
4,7,1,407,1,1,19370101,75,8,1.0,1.0,2.0,0,1,2,-999.0,2.0,2.0,-999.0,-999.0,2,-999.0,2.0,2.0,-999.0,-999.0,4_7_1
4,7,2,407,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,4_7_2
4,8,1,408,2,1,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,4_8_1
4,9,1,409,2,1,19330804,79,1,4.0,-999.0,-999.0,0,1,2,-999.0,10.0,2.0,-999.0,-999.0,2,-999.0,10.0,2.0,-999.0,-999.0,4_9_1
4,10,1,410,1,1,19490224,63,6,1.0,-999.0,-999.0,0,1,2,-999.0,9.0,2.0,62.0,-999.0,2,-999.0,10.0,2.0,70.0,-999.0,4_10_1
4,10,2,410,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,4_10_2
5,1,1,501,1,1,19360826,76,0,1.0,1.0,-999.0,0,1,2,-999.0,2.0,2.0,75.0,-999.0,2,-999.0,2.0,2.0,70.0,-999.0,5_1_1
5,1,2,501,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,5_1_2
5,1,3,501,1,4,19700423,42,4,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,5_1_3
5,3,1,503,2,1,19300316,82,6,4.0,-999.0,-999.0,0,1,2,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,10.0,2.0,65.0,-999.0,5_3_1
5,4,2,504,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,5_4_2
5,4,3,504,2,4,19960224,16,6,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,5_4_3
5,5,1,505,1,1,19480802,64,1,1.0,1.0,2.0,0,1,2,-999.0,1.0,2.0,85.0,-999.0,2,-999.0,1.0,2.0,60.0,-999.0,5_5_1
5,5,2,505,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,5_5_2
5,5,3,505,1,4,19880912,24,0,5.0,-999.0,-999.0,0,1,1,2.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,5_5_3
5,6,1,506,1,1,19590215,53,7,1.0,1.0,2.0,0,1,2,-999.0,10.0,1.0,-999.0,-999.0,2,-999.0,10.0,2.0,75.0,-999.0,5_6_1
5,6,2,506,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,5_6_2
5,6,3,506,1,4,19860708,26,2,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,5_6_3
5,6,4,506,2,4,20001219,11,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,5_6_4
5,7,1,507,1,1,19600124,52,8,1.0,1.0,2.0,0,1,2,-999.0,10.0,2.0,68.0,-999.0,2,-999.0,10.0,2.0,70.0,-999.0,5_7_1
5,7,2,507,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,5_7_2
5,7,3,507,2,4,19910411,21,5,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,5_7_3
5,8,1,508,1,1,19570302,55,6,5.0,-999.0,-999.0,0,1,2,-999.0,10.0,2.0,-999.0,-999.0,2,-999.0,2.0,2.0,73.0,-999.0,5_8_1
5,9,1,509,2,1,19511121,60,10,4.0,-999.0,-999.0,0,1,2,-999.0,10.0,2.0,-999.0,-999.0,2,-999.0,10.0,2.0,-999.0,-999.0,5_9_1
5,9,2,509,2,4,19740606,38,3,2.0,2.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,10.0,2.0,-999.0,-999.0,5_9_2
5,9,3,509,1,6,20051204,6,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,8.0,1.0,-999.0,40.0,5_9_3
6,2,1,602,1,1,19480410,64,4,1.0,1.0,2.0,0,1,2,-999.0,1.0,2.0,-999.0,-999.0,2,-999.0,1.0,2.0,80.0,-999.0,6_2_1
6,2,2,602,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,6_2_2
6,3,1,603,1,1,19510215,61,6,1.0,1.0,2.0,0,1,2,-999.0,1.0,1.0,-999.0,-999.0,2,-999.0,1.0,2.0,86.0,-999.0,6_3_1
6,3,2,603,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,6_3_2
6,3,3,603,1,4,19890927,22,11,1.0,1.0,5.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,6_3_3
6,3,4,603,1,4,19790713,33,1,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,6_3_4
6,3,5,603,2,9,19920816,20,0,1.0,1.0,3.0,0,1,2,-999.0,3.0,1.0,-999.0,-999.0,2,-999.0,3.0,1.0,-999.0,-999.0,6_3_5
6,4,1,604,1,1,19760901,36,0,1.0,1.0,2.0,0,1,2,-999.0,2.0,1.0,-999.0,-999.0,2,-999.0,7.0,1.0,-999.0,-999.0,6_4_1
6,4,2,604,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,6_4_2
6,4,3,604,1,4,20071231,4,-999,-999.0,-999.0,-999.0,0,1,1,2.0,-999.0,-999.0,-999.0,-999.0,1,1.0,-999.0,-999.0,-999.0,-999.0,6_4_3
6,4,4,604,1,4,20091218,2,-999,-999.0,-999.0,-999.0,0,1,1,2.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,6_4_4
6,5,1,605,1,1,19671020,44,10,1.0,1.0,2.0,0,1,2,-999.0,1.0,2.0,-999.0,-999.0,2,-999.0,1.0,1.0,-999.0,83.0,6_5_1
6,5,2,605,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,6_5_2
6,5,3,605,1,4,19930207,19,6,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,6_5_3
6,5,4,605,1,4,19960225,16,6,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,6_5_4
6,7,1,607,2,1,19320627,80,2,4.0,-999.0,-999.0,0,1,2,-999.0,1.0,2.0,-999.0,-999.0,2,-999.0,1.0,2.0,-999.0,-999.0,6_7_1
6,8,1,608,1,1,19350214,77,6,1.0,1.0,-999.0,0,1,2,-999.0,1.0,2.0,90.0,-999.0,2,-999.0,1.0,2.0,49.0,-999.0,6_8_1
6,8,2,608,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,6_8_2
6,9,1,609,2,1,19410715,71,1,4.0,-999.0,-999.0,0,1,2,-999.0,1.0,2.0,68.0,-999.0,2,-999.0,1.0,2.0,-999.0,-999.0,6_9_1
6,10,1,610,1,1,19710218,41,7,1.0,1.0,2.0,0,1,2,-999.0,3.0,1.0,-999.0,65.0,2,-999.0,9.0,1.0,-999.0,-999.0,6_10_1
6,10,2,610,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,6_10_2
6,10,3,610,2,4,19950219,17,7,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,6_10_3
7,2,1,702,1,1,19750910,36,11,1.0,1.0,2.0,0,1,2,-999.0,5.0,1.0,-999.0,-999.0,2,-999.0,3.0,1.0,-999.0,-999.0,7_2_1
7,2,2,702,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,7_2_2
7,2,3,702,2,4,20020409,10,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,7_2_3
7,2,4,702,1,4,20090523,3,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,7_2_4
7,3,1,703,1,1,19570204,55,6,1.0,1.0,2.0,0,1,2,-999.0,3.0,2.0,75.0,-999.0,2,-999.0,9.0,2.0,77.0,-999.0,7_3_1
7,3,2,703,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,7_3_2
7,4,1,704,1,1,19691010,42,11,1.0,1.0,2.0,0,1,2,-999.0,2.0,2.0,72.0,-999.0,2,-999.0,5.0,1.0,-999.0,-999.0,7_4_1
7,4,2,704,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,7_4_2
7,4,3,704,1,4,19990525,13,3,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,7_4_3
7,4,4,704,2,4,20061025,5,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,7_4_4
7,5,1,705,1,1,19731011,38,10,1.0,1.0,2.0,0,1,2,-999.0,4.0,1.0,-999.0,-999.0,2,-999.0,5.0,1.0,-999.0,-999.0,7_5_1
7,5,2,705,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,7_5_2
7,5,3,705,1,4,20041111,7,-999,-999.0,-999.0,-999.0,0,1,1,2.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,7_5_3
7,5,4,705,2,4,20110907,1,-999,-999.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,7_5_4
7,6,1,706,2,1,19360807,76,1,4.0,-999.0,-999.0,0,1,2,-999.0,1.0,2.0,-999.0,-999.0,2,-999.0,1.0,2.0,-999.0,-999.0,7_6_1
