psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10,house_q02,house_q03,house_q04,house_q05y,house_q05m,house_q06,house_q07,house_q08,house_q09,house_q10,house_q11,house_q12,house_q13,house_q14,house_q15,house_q16,house_q17,house_q18,house_q19,house_q20,house_q21,house_q22,edu_q01,edu_q02,edu_q03,edu_q04,edu_q05,edu_q06,edu_q07,edu_q08,edu_q09,edu_q10,edu_q11,edu_q12,edu_q13,edu_q14,edu_q15,edu_q16,edu_q17,edu_q18,edu_q19,edu_q20,edu_q21,edu_q22,edu_q23,edu_q24,edu_q25,edu_q26,edu_q27,edu_q28,edu_q29,edu_q30,edu_q31,edu_q32,edu_q33,edu_q34,edu_q35,edu_q36,edu_q37,edu_q38,edu_q39,edu_q40,edu_q41,edu_q42,edu_q43,edu_q44,edu_q45,edu_q46,edu_q47,edu_q48,edu_q49,edu_q50,edu_q51,edu_q52,edu_q53,edu_q54,edu_q55,edu_q56,edu_q57,edu_q58,edu_q59,edu_q60,edu_q61,edu_q62,edu_q63,edu_q64,edu_q65,edu_q66
581_7_1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,19580131.0,54.0,7.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,58.0,,2.0,,2.0,2.0,69.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60_1_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19710705.0,41.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,7.0,,,,,1.0,6.0,,,,,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580_9_1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,19470401.0,65.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,79.0,,2.0,,1.0,2.0,78.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742_8_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19650530.0,47.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,1.0,,60.0,2.0,,1.0,2.0,55.0,,1.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,,,13.0,,,2.0,,,13.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427_7_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19370809.0,75.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,81.0,,2.0,,1.0,2.0,65.0,,2.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,,,2.0,,,2.0,,,2.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589_5_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19600328.0,52.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,70.0,,2.0,,2.0,1.0,,75.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376_4_2,0,0,0,0,1,0,0,0,0,0,2.0,2.0,19750320.0,37.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,56.0,2.0,,5.0,1.0,,69.0,1.0,1.0,1.0,6.0,3.0,7.0,0.0,2.0,,,13.0,,,2.0,,,13.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452_1_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19330712.0,79.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,83.0,,2.0,,2.0,2.0,27.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579_2_1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,19500913.0,62.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,80.0,,2.0,,2.0,2.0,78.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223_7_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19670219.0,45.0,6.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,60.0,,2.0,,2.0,2.0,78.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689_7_1,0,0,0,0,0,0,0,1,0,0,1.0,1.0,19790409.0,33.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,57.0,2.0,,3.0,1.0,,60.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,4.0,,,2.0,,,4.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797_5_1,0,1,0,0,0,0,0,0,0,0,2.0,1.0,19561112.0,55.0,9.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,77.0,,2.0,,2.0,2.0,60.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86_2_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19561029.0,55.0,10.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,73.0,,2.0,,3.0,2.0,71.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203_3_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19510421.0,61.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,1.0,,83.0,2.0,,1.0,2.0,74.0,,1.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,,,13.0,,,2.0,,,13.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55_4_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19660801.0,46.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,77.0,,2.0,,2.0,1.0,,73.0,1.0,1.0,1.0,6.0,4.0,9.0,2.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575_5_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19300212.0,82.0,6.0,4.0,,,0.0,1.0,2.0,,10.0,2.0,72.0,,2.0,,10.0,2.0,77.0,,3.0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,,,2.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731_7_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19370805.0,75.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,80.0,,2.0,,2.0,2.0,81.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482_3_1,0,0,0,0,0,0,0,1,0,0,1.0,1.0,19700712.0,42.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,78.0,2.0,,2.0,2.0,76.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751_9_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19400101.0,72.0,8.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,76.0,,2.0,,2.0,2.0,80.0,,1.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147_8_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19450307.0,67.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,86.0,,2.0,,2.0,2.0,90.0,,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,,,14.0,,,2.0,,,14.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185_6_1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,19590420.0,53.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,,,,,2.0,,2.0,2.0,35.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477_8_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19560523.0,56.0,3.0,5.0,,,0.0,1.0,2.0,,2.0,1.0,,79.0,2.0,,2.0,1.0,,82.0,1.0,1.0,1.0,6.0,3.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262_1_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19460902.0,66.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,66.0,,2.0,,2.0,2.0,68.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599_1_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19710517.0,41.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,75.0,2.0,,3.0,2.0,68.0,,1.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,,,3.0,,,2.0,,,3.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773_4_2,0,1,0,0,0,0,0,0,0,0,2.0,2.0,19680116.0,44.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,68.0,2.0,,2.0,1.0,,74.0,1.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,,,2.0,,,2.0,,,2.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409_2_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19540810.0,58.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,61.0,,2.0,,1.0,2.0,72.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311_5_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19420612.0,70.0,3.0,4.0,,,0.0,1.0,2.0,,3.0,2.0,80.0,,2.0,,2.0,2.0,78.0,,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386_7_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19631218.0,48.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,2.0,75.0,,2.0,,2.0,2.0,70.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62_4_2,0,0,0,0,0,0,1,0,0,0,2.0,2.0,19370817.0,75.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,2.0,80.0,,2.0,,1.0,2.0,73.0,,1.0,1.0,1.0,1.0,7.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262_6_1,0,0,0,0,0,0,0,1,0,0,1.0,1.0,19690725.0,43.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,64.0,,2.0,,2.0,2.0,65.0,,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,2.0,,,2.0,,,2.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507_4_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19660710.0,46.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,72.0,2.0,,3.0,2.0,80.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377_4_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19490706.0,63.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,64.0,,2.0,,1.0,2.0,76.0,,1.0,1.0,1.0,1.0,7.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305_1_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19690925.0,42.0,11.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,62.0,2.0,,3.0,1.0,,70.0,1.0,1.0,1.0,6.0,4.0,9.0,2.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398_8_1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,19430915.0,68.0,11.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,72.0,,2.0,,3.0,2.0,54.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322_5_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19500826.0,62.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,87.0,,2.0,,1.0,2.0,84.0,,2.0,1.0,1.0,1.0,8.0,2.0,2.0,2.0,,,12.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161_2_2,0,1,0,0,0,0,0,0,0,0,1.0,4.0,19900503.0,22.0,4.0,5.0,,,0.0,1.0,1.0,1.0,,,,,2.0,,4.0,1.0,,59.0,1.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361_5_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19740530.0,38.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,73.0,2.0,,3.0,2.0,51.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390_4_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19750721.0,37.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,54.0,,2.0,,2.0,2.0,73.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640_7_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19570313.0,55.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,2.0,65.0,,2.0,,2.0,1.0,,82.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480_3_1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,19600421.0,52.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,85.0,,2.0,,2.0,2.0,72.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
